ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
o	+	-	+	+	+	0	-	-	-	+	-	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
õ	+	-	+	+	+	0	-	-	-	+	-	-	-	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɵ	+	-	+	+	+	0	-	-	-	-	-	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ø	+	-	+	+	+	0	-	-	+	-	-	-	-	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɵ̃	+	-	+	+	+	0	-	-	-	-	-	-	-	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ø̃	+	-	+	+	+	0	-	-	+	-	-	-	-	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
o̥	+	-	+	+	+	0	-	-	-	+	-	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ɵ̥	+	-	+	+	+	0	-	-	-	-	-	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ø̥	+	-	+	+	+	0	-	-	+	-	-	-	-	-	-	+	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
ɶ	+	-	+	+	+	0	-	-	+	-	-	+	-	-	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɶ̃	+	-	+	+	+	0	-	-	+	-	-	+	-	+	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɶ̥	+	-	+	+	+	0	-	-	+	-	-	+	-	-	-	0	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
oː	+	-	+	+	+	0	-	-	-	+	-	-	+	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
õː	+	-	+	+	+	0	-	-	-	+	-	-	+	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɵː	+	-	+	+	+	0	-	-	-	-	-	-	+	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
øː	+	-	+	+	+	0	-	-	+	-	-	-	+	-	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɵ̃ː	+	-	+	+	+	0	-	-	-	-	-	-	+	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ø̃ː	+	-	+	+	+	0	-	-	+	-	-	-	+	+	-	+	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɶː	+	-	+	+	+	0	-	-	+	-	-	+	+	-	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɶ̃ː	+	-	+	+	+	0	-	-	+	-	-	+	+	+	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
œ	+	-	+	+	+	0	-	-	+	-	-	-	-	-	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
œ̃	+	-	+	+	+	0	-	-	+	-	-	-	-	+	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
œ̥	+	-	+	+	+	0	-	-	+	-	-	-	-	-	-	-	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
œː	+	-	+	+	+	0	-	-	+	-	-	-	+	-	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
œ̃ː	+	-	+	+	+	0	-	-	+	-	-	-	+	+	-	-	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
oʊ	+	-	+	+	+	0	-	-	-	+	-	-	-	-	+	+	+	-	+	0	0	0	-	+	-	+	-	-	+	-	+
bʲ	-	+	-	-	-	-	-	-	+	-	+	-	-	-	-	0	+	-	-	0	0	0	-	-	-	+	-	-	0	0	+
pʲ	-	+	-	-	-	-	-	-	+	-	+	-	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
p	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	-	0	0	+
pʼ	-	+	-	-	-	-	-	-	0	0	0	0	-	-	-	0	+	-	-	0	0	0	-	-	-	-	-	+	0	0	+
