experiment,trial,item_type,form,meaning
17,4,trial,pityipityi,TIGHT|PINCHING
17,5,trial,syikusyiku,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach)
17,6,trial,hirihiri,BURNING|TINGLING
17,7,trial,haku,SPIT|VOMIT
17,8,trial,dotsuku,RAP (at the door)|KNOCK (at the door)
17,9,trial,kowai,EXHAUSTED|TIRED|WEARY
17,10,trial,tsurai,SAD|GLUM
17,11,trial,egui,ACRID (taste)|BITTER (taste)
17,12,trial,omoreru,HUMID|MUGGY
17,13,control,katai,HARD
17,14,control,pyoNpyoN,BOUNCING|HOPPING
17,15,control,hisohiso,WHISPERING
18,1,practice,yoroyoro,WOBBLING
18,2,practice,fuwafuwa,FLUFFY
18,3,trial,zokuzoku,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE)
18,4,trial,syobosyobo,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
18,5,trial,akarui,BRIGHT|SUNNY
18,6,trial,nurunuru,SLIMY|SLIPPERY|SLICK
18,7,trial,nurui,LUKEWARM
18,8,trial,izyiizyi,ANNOYED|IMPATIENT
18,9,trial,kooru,FREEZE
18,10,trial,himozyii,HUNGRY|STARVING
18,11,trial,erai,SLUGGISH|LETHARGIC
18,12,control,katai,HARD
18,13,control,pyoNpyoN,BOUNCING|HOPPING
18,14,control,hisohiso,WHISPERING
19,1,practice,yoroyoro,WOBBLING
19,2,practice,fuwafuwa,FLUFFY
19,3,trial,ookii,BIG|MASSIVE|LARGE|HUGE
19,4,trial,zyimezyime,HUMID|MUGGY
19,5,trial,booQ,FUZZY|BLURRY|HAZY
19,6,trial,kiree,CLEAN|TIDY
19,7,trial,zoNzoN,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE)
19,8,trial,kitsui,TIGHT|PINCHING
19,9,trial,migotsu,CLEAN|TIDY
19,10,trial,hosoi,THIN|SLENDER
19,11,trial,tsumetee,COLD|CHILLY
19,12,control,katai,HARD
19,13,control,pyoNpyoN,BOUNCING|HOPPING
19,14,control,hisohiso,WHISPERING
20,1,practice,yoroyoro,WOBBLING
20,2,practice,fuwafuwa,FLUFFY
20,3,trial,syimeQpoi,WET|SOGGY|DAMP
20,4,trial,usui,BLAND (taste)|TASTELESS|WATERY (taste)
20,5,trial,syaN,CLEAR|REFRESHED
20,6,trial,zuQkoi,CUNNING|SLY|SNEAKY
20,7,trial,guNnari,EXHAUSTED|TIRED|WEARY
20,8,trial,ookii,LOUD|NOISY
20,9,trial,narui,FLAT|SMOOTH
20,10,trial,hau,CRAWL|CREEP
20,11,trial,syetsu,EXHAUSTED|TIRED|WEARY
20,12,control,katai,HARD
20,13,control,pyoNpyoN,BOUNCING|HOPPING
20,14,control,hisohiso,WHISPERING
21,1,practice,yoroyoro,WOBBLING
21,2,practice,fuwafuwa,FLUFFY
21,3,trial,haQkiri,CLEAR|REFRESHED
21,4,trial,kutyii,STUFFED (from eating too much)|FULL (from eating)
21,5,trial,syaQkoi,COLD|CHILLY
21,6,trial,zuuzuusyii,RUDE|ARROGANT|BRAZEN
21,7,trial,omoi,OILY/HEAVY (food)
21,8,trial,syiQpori,WET|SOGGY|DAMP
21,9,trial,utsukusyi,CLEAN|TIDY
21,10,trial,hiru,DRY|PARCHED
21,11,trial,bisyoQtanee,SCRUFFY|TATTY|RAGGEDY
21,12,control,katai,HARD
21,13,control,pyoNpyoN,BOUNCING|HOPPING
21,14,control,hisohiso,WHISPERING
22,1,practice,yoroyoro,WOBBLING
22,2,practice,fuwafuwa,FLUFFY
22,3,trial,futoi,BIG|MASSIVE|LARGE|HUGE
22,4,trial,syiiN,QUIET
22,5,trial,tyiNtye,THIN|SLENDER
